date; time; TempVasca1; TempVasca2; TempVasca3; TempVasca4; TempFrigo; TAVasca1; TAVasca2; TAVasca3; TAVasca4; PressioneV1; PressioneV2; PressioneV3; PressioneV4; Compressore1; Compressore2; EV0; EV1; EV2; EV3; EV4
2016/04/29; 16:49:04; 0.0; 0.0; 0.0; 0.0; 0.0; 0; 0; 0; 0; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:49:14; -1.5; -1.8; -1.9; -1.2; 19.2; 0; 0; 0; 0; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:49:24; -1.4; -1.7; -1.9; -1.2; 19.2; 0; 0; 0; 0; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:49:34; -1.4; -1.7; -1.9; -1.1; 19.2; 59; 60; 59; 56; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:49:45; -1.4; -1.7; -1.8; -1.1; 19.2; 58; 59; 59; 55; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:49:55; -1.3; -1.7; -1.8; -1.1; 19.2; 58; 59; 59; 56; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:50:05; -1.3; -1.7; -1.8; -1.1; 19.2; 58; 59; 59; 56; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:50:15; -1.2; -1.6; -1.8; -1.1; 19.2; 58; 59; 59; 55; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:50:25; -1.1; -1.5; -1.8; -1.1; 19.3; 59; 59; 59; 55; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:50:36; -1.1; -1.5; -1.8; -1.2; 19.3; 59; 59; 58; 56; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:50:46; -1.0; -1.4; -1.8; -1.2; 19.4; 59; 60; 58; 55; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:50:56; -0.9; -1.3; -1.8; -1.2; 19.4; 59; 60; 58; 55; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:51:06; -0.8; -1.2; -1.7; -1.2; 19.4; 59; 59; 58; 55; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:51:16; -0.8; -1.1; -1.7; -1.2; 19.5; 59; 60; 58; 56; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:51:27; -0.7; -1.0; -1.7; -1.2; 19.5; 58; 59; 59; 56; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:51:37; -0.6; -0.9; -1.7; -1.2; 19.5; 58; 59; 59; 55; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:51:47; -0.6; -0.8; -1.7; -1.2; 19.5; 58; 59; 58; 55; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:51:57; -0.5; -0.7; -1.7; -1.2; 19.5; 58; 60; 58; 55; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:52:07; -0.4; -0.6; -1.7; -1.2; 19.6; 58; 59; 58; 56; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:52:17; -0.4; -0.5; -1.7; -1.2; 19.5; 58; 59; 59; 56; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:52:28; -0.3; -0.4; -1.7; -1.2; 19.6; 58; 58; 59; 56; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:52:38; -0.2; -0.3; -1.7; -1.2; 19.6; 58; 58; 59; 55; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:52:48; -0.2; -0.3; -1.7; -1.2; 19.6; 58; 58; 58; 56; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:52:58; -0.1; -0.2; -1.7; -1.2; 19.6; 58; 59; 58; 56; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:53:08; 0.0; -0.2; -1.7; -1.2; 19.5; 57; 57; 58; 55; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:53:19; 0.0; -0.1; -1.7; -1.2; 19.5; 56; 57; 59; 55; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:53:29; 0.0; 0.0; -1.7; -1.2; 19.5; 57; 56; 58; 55; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:53:39; 0.0; 0.0; -1.7; -1.1; 19.5; 57; 57; 58; 55; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
