date; time; TempVasca1; TempVasca2; TempVasca3; TempVasca4; TempFrigo; TAVasca1; TAVasca2; TAVasca3; TAVasca4; PressioneV1; PressioneV2; PressioneV3; PressioneV4; Compressore1; Compressore2; EV0; EV1; EV2; EV3; EV4
2016/05/02; 14:16:52; 24.2; 21.1; 20.1; 19.4; 14.3; 1; 5; 2; 1; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/05/02; 14:17:02; 24.2; 21.1; 20.1; 19.4; 14.3; 2; 6; 2; 2; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/05/02; 14:17:12; 24.2; 21.1; 20.1; 19.4; 14.3; 2; 6; 2; 2; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/05/02; 14:17:22; 24.3; 21.1; 20.1; 19.4; 14.3; 2; 6; 2; 2; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/05/02; 14:17:33; 24.3; 21.1; 20.1; 19.5; 14.3; 2; 6; 2; 2; 0.00; 0.05; 0.03; 0.02; 0; 0; 0; 0; 0; 0; 0
2016/05/02; 14:17:43; 24.3; 21.1; 20.1; 19.5; 14.3; 3; 6; 2; 2; 0.01; 0.05; 0.03; 0.02; 0; 0; 0; 0; 0; 0; 0
2016/05/02; 14:17:53; 24.3; 21.1; 20.1; 19.5; 14.3; 2; 6; 2; 2; 0.00; 0.05; 0.02; 0.02; 0; 0; 0; 1; 0; 0; 0
2016/05/02; 14:18:03; 24.3; 21.1; 20.1; 19.5; 14.3; 2; 6; 2; 2; 0.00; 0.05; 0.02; 0.02; 0; 0; 0; 1; 0; 0; 0
2016/05/02; 14:18:13; 24.3; 21.1; 20.1; 19.5; 14.3; 2; 6; 2; 2; 0.00; 0.05; 0.02; 0.02; 0; 0; 0; 1; 0; 0; 0
2016/05/02; 14:18:23; 24.3; 21.2; 20.1; 19.5; 14.3; 2; 6; 2; 2; 0.00; 0.01; 0.02; 0.02; 0; 0; 0; 1; 0; 0; 0
2016/05/02; 14:18:34; 24.3; 21.1; 20.1; 19.5; 14.3; 2; 5; 2; 2; 0.00; 0.01; 0.02; 0.02; 0; 0; 0; 1; 0; 0; 0
2016/05/02; 14:18:44; 24.3; 21.1; 20.1; 19.5; 14.4; 2; 5; 2; 2; 0.00; 0.01; 0.02; 0.02; 0; 0; 0; 1; 0; 0; 0
2016/05/02; 14:18:54; 24.3; 21.1; 20.1; 19.5; 14.4; 2; 6; 2; 2; 0.00; 0.01; 0.02; 0.02; 0; 0; 0; 1; 0; 0; 0
2016/05/02; 14:19:04; 24.3; 21.1; 20.1; 19.5; 14.4; 2; 6; 2; 2; 0.00; 0.01; 0.02; 0.02; 0; 0; 0; 1; 0; 0; 0
2016/05/02; 14:19:14; 24.3; 21.1; 20.1; 19.5; 14.4; 2; 6; 2; 2; 0.00; 0.01; 0.02; 0.02; 0; 0; 0; 1; 0; 0; 0
