date; time; TempVasca1; TempVasca2; TempVasca3; TempVasca4; TempFrigo; TAVasca1; TAVasca2; TAVasca3; TAVasca4; PressioneV1; PressioneV2; PressioneV3; PressioneV4; Compressore1; Compressore2; EV0; EV1; EV2; EV3; EV4
2016/04/29; 15:48:39; 14.3; 14.2; 12.3; 13.9; 24.7; 0; 0; 0; 1; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 15:48:49; 14.4; 14.3; 12.6; 14.1; 24.6; 0; 0; 1; 1; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 15:48:59; 14.5; 14.4; 12.9; 14.2; 24.7; 0; 0; 1; 1; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 15:49:09; 14.6; 14.6; 13.1; 14.4; 24.7; 0; 0; 1; 1; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 15:49:19; 14.7; 14.7; 13.3; 14.5; 24.7; 0; 0; 1; 1; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 15:49:29; 14.8; 14.8; 13.5; 14.6; 24.7; 0; 0; 1; 1; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 15:49:40; 14.9; 14.9; 13.7; 14.7; 24.7; 0; 0; 1; 1; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 15:49:50; 15.0; 15.0; 13.9; 14.8; 24.7; 0; 0; 1; 1; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 15:50:00; 15.1; 15.1; 14.1; 15.0; 24.7; 0; 0; 1; 1; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 15:50:10; 15.2; 15.2; 14.2; 15.1; 24.7; 0; 0; 1; 1; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 15:50:20; 15.3; 15.3; 14.4; 15.2; 24.7; 0; 0; 1; 1; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 15:50:30; 15.3; 15.4; 14.5; 15.2; 24.7; 0; 0; 1; 1; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 15:50:40; 15.4; 15.5; 14.6; 15.3; 24.7; 0; 0; 1; 1; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 15:50:51; 15.5; 15.6; 14.8; 15.4; 24.7; 0; 0; 1; 3; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 15:51:01; 15.5; 15.7; 14.9; 15.5; 24.7; 0; 0; 1; 2; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 15:51:11; 15.6; 15.7; 15.0; 15.6; 24.7; 0; 0; 1; 1; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 15:51:21; 15.7; 15.8; 15.1; 15.6; 24.6; 0; 0; 1; 1; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 15:51:31; 15.8; 15.9; 15.2; 15.7; 24.6; 0; 0; 1; 1; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 15:51:41; 15.9; 15.9; 15.3; 15.8; 24.6; 0; 0; 1; 1; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 15:51:51; 16.0; 16.0; 15.4; 15.8; 24.6; 0; 0; 1; 1; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 15:52:01; 16.1; 16.1; 15.5; 15.9; 24.6; 0; 0; 1; 1; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 15:52:12; 16.1; 16.1; 15.6; 16.0; 24.6; 0; 0; 1; 1; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 15:52:22; 16.2; 16.2; 15.7; 16.0; 24.6; 0; 0; 1; 1; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 15:52:32; 16.3; 16.3; 15.7; 16.1; 24.5; 0; 0; 1; 1; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 15:52:42; 16.3; 16.3; 15.8; 16.2; 24.5; 0; 0; 1; 1; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
