date; time; TempVasca1; TempVasca2; TempVasca3; TempVasca4; TempFrigo; TAVasca1; TAVasca2; TAVasca3; TAVasca4; PressioneV1; PressioneV2; PressioneV3; PressioneV4; Compressore1; Compressore2; EV0; EV1; EV2; EV3; EV4
2016/04/29; 16:09:08; 17.0; 16.7; 17.0; 17.0; 22.5; 0; 0; 0; 0; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:09:18; 17.0; 16.6; 16.9; 17.0; 22.5; 0; 0; 0; 1; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:09:28; 17.0; 16.5; 16.9; 16.9; 22.5; 0; 0; 0; 1; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:09:38; 17.0; 16.4; 16.8; 16.9; 22.4; 59; 2; 0; 57; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:09:49; 17.0; 16.4; 16.8; 16.8; 22.4; 60; 60; 60; 56; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:09:59; 16.9; 16.3; 16.8; 16.8; 22.4; 59; 60; 60; 56; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:10:09; 16.9; 16.1; 16.6; 16.6; 22.4; 59; 60; 60; 57; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:10:19; 16.9; 16.0; 16.4; 16.5; 22.4; 0; 0; 1; 1; 0.04; 0.05; 0.01; 0.02; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:10:29; 16.9; 15.8; 16.3; 16.4; 22.4; 0; 0; 0; 1; 0.04; 0.05; 0.01; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:10:39; 16.9; 15.7; 16.2; 16.4; 22.4; 0; 0; 0; 1; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:10:50; 16.9; 15.6; 16.1; 16.3; 22.3; 59; 59; 0; 57; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:11:00; 16.8; 15.6; 16.0; 16.3; 22.3; 58; 59; 60; 56; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:11:10; 16.8; 15.5; 15.9; 16.2; 22.3; 58; 59; 59; 57; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:11:20; 16.7; 15.4; 15.8; 16.1; 22.2; 57; 59; 59; 57; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:11:30; 16.6; 15.2; 15.7; 16.0; 22.2; 57; 58; 59; 56; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:11:41; 16.5; 15.1; 15.5; 15.9; 22.2; 57; 58; 60; 55; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:11:51; 16.3; 14.9; 15.4; 15.8; 22.1; 57; 58; 60; 55; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:12:01; 16.1; 14.5; 15.1; 15.6; 22.1; 57; 57; 60; 55; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:12:11; 15.9; 14.2; 14.9; 15.5; 22.0; 57; 58; 60; 55; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:12:21; 15.7; 13.9; 14.6; 15.3; 21.9; 58; 58; 60; 55; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:12:31; 15.5; 13.5; 14.3; 15.1; 21.8; 59; 59; 59; 56; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:12:42; 15.3; 13.2; 14.0; 14.8; 21.8; 59; 58; 59; 56; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:12:52; 15.1; 12.8; 13.7; 14.6; 21.7; 59; 59; 59; 56; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:13:02; 14.8; 12.3; 13.3; 14.3; 21.7; 58; 59; 59; 56; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:13:12; 14.6; 11.9; 12.9; 14.0; 21.6; 59; 60; 60; 55; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:13:22; 14.4; 11.5; 12.5; 13.7; 21.5; 59; 60; 59; 55; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:13:32; 14.1; 11.1; 12.2; 13.4; 21.5; 59; 60; 59; 56; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:13:43; 13.9; 10.7; 11.7; 13.1; 21.4; 59; 60; 59; 56; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:13:53; 13.6; 10.3; 11.3; 12.8; 21.4; 59; 60; 58; 56; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:14:03; 13.3; 9.9; 11.0; 12.5; 21.3; 58; 60; 59; 55; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:14:13; 13.1; 9.5; 10.6; 12.2; 21.3; 59; 60; 60; 55; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:14:23; 12.9; 9.1; 10.2; 11.8; 21.2; 59; 60; 0; 55; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:14:34; 12.6; 8.7; 9.9; 11.5; 21.2; 58; 59; 58; 55; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:14:44; 12.4; 8.4; 9.6; 11.2; 21.2; 58; 59; 59; 55; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:14:54; 12.2; 8.0; 9.3; 11.0; 21.2; 59; 60; 59; 55; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:15:04; 12.0; 7.7; 9.0; 10.7; 21.1; 58; 59; 59; 55; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:15:14; 11.9; 7.3; 8.7; 10.4; 21.0; 59; 59; 59; 56; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:15:24; 11.6; 7.0; 8.4; 10.1; 21.0; 59; 59; 59; 56; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:15:35; 11.4; 6.7; 8.1; 9.8; 20.9; 59; 60; 57; 55; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:15:45; 11.2; 6.4; 7.8; 9.6; 20.9; 58; 59; 2; 55; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:15:55; 11.0; 6.1; 7.6; 9.3; 20.9; 59; 59; 59; 56; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:16:05; 10.9; 5.9; 7.4; 9.1; 20.9; 59; 59; 60; 56; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:16:15; 10.7; 5.6; 7.2; 8.9; 20.8; 58; 59; 59; 55; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:16:25; 10.5; 5.4; 7.0; 8.6; 20.8; 59; 59; 59; 56; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:16:36; 10.4; 5.1; 6.8; 8.4; 20.7; 59; 59; 59; 55; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:16:46; 10.2; 4.9; 6.5; 8.2; 20.7; 58; 0; 59; 55; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:16:56; 10.1; 4.7; 6.3; 8.0; 20.6; 59; 57; 59; 56; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:17:06; 9.9; 4.5; 6.1; 7.8; 20.6; 58; 59; 59; 55; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:17:16; 9.8; 4.3; 5.8; 7.6; 20.6; 59; 59; 59; 56; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:17:26; 9.6; 4.1; 5.6; 7.4; 20.5; 59; 59; 59; 56; 0.04; 0.05; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
