date; time; TempVasca1; TempVasca2; TempVasca3; TempVasca4; TempFrigo; TAVasca1; TAVasca2; TAVasca3; TAVasca4; PressioneV1; PressioneV2; PressioneV3; PressioneV4; Compressore1; Compressore2; EV0; EV1; EV2; EV3; EV4
2016/04/29; 16:41:23; 0.0; 0.0; 0.0; 0.0; 0.0; 0; 0; 0; 0; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:41:33; -1.5; -2.5; -2.2; -1.6; 19.0; 0; 0; 0; 0; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:41:43; -1.6; -2.5; -2.2; -1.6; 19.0; 0; 0; 0; 0; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:41:53; -1.6; -2.5; -2.2; -1.6; 19.0; 57; 59; 60; 56; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:42:04; -1.6; -2.5; -2.2; -1.6; 19.0; 58; 59; 60; 55; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:42:14; -1.7; -2.5; -2.2; -1.6; 19.0; 58; 59; 59; 56; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:42:24; -1.7; -2.5; -2.2; -1.6; 18.7; 58; 59; 59; 56; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:42:34; -1.7; -2.5; -2.3; -1.6; 18.7; 58; 59; 59; 55; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:42:44; -1.8; -2.5; -2.3; -1.6; 18.8; 58; 59; 59; 55; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:42:55; -1.8; -2.5; -2.3; -1.6; 18.8; 58; 58; 58; 54; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:43:05; -1.8; -2.5; -2.3; -1.6; 18.8; 57; 59; 59; 55; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:43:15; -1.8; -2.5; -2.3; -1.6; 18.8; 58; 58; 58; 56; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:43:25; -1.8; -2.4; -2.3; -1.6; 18.8; 58; 59; 58; 56; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:43:35; -1.9; -2.4; -2.3; -1.6; 18.9; 58; 59; 59; 55; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:43:46; -1.9; -2.4; -2.3; -1.6; 18.9; 58; 58; 58; 55; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:43:56; -1.9; -2.4; -2.2; -1.6; 18.9; 57; 58; 58; 55; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:44:06; -1.9; -2.4; -2.2; -1.6; 18.9; 57; 59; 58; 55; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:44:16; -1.9; -2.4; -2.2; -1.6; 18.9; 58; 58; 59; 54; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:44:26; -1.9; -2.4; -2.2; -1.6; 18.9; 58; 59; 59; 54; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
2016/04/29; 16:44:36; -1.9; -2.4; -2.2; -1.6; 18.9; 58; 58; 59; 55; 0.00; 0.00; 0.00; 0.00; 0; 0; 0; 0; 0; 0; 0
